"Type","time","zone","scenario","value"
"Biomass",2024-06-27 05:00:00,"AB","Base",53.6
"Biomass",2024-06-27 05:00:00,"BC","Base",48.15
"Biomass",2024-06-27 05:00:00,"California","Base",210.062
"Biomass",2024-06-27 05:00:00,"ERCOT","Base",78.3
"Biomass",2024-06-27 05:00:00,"FRCC","Base",78.7
"Biomass",2024-06-27 05:00:00,"HQ","Base",0
"Biomass",2024-06-27 05:00:00,"IESO","Base",24.8442
"Biomass",2024-06-27 05:00:00,"ISONE","Base",0
"Biomass",2024-06-27 05:00:00,"Maritimes","Base",0
"Biomass",2024-06-27 05:00:00,"Mexico","Base",799.6
"Biomass",2024-06-27 05:00:00,"MISO","Base",85.61
"Biomass",2024-06-27 05:00:00,"NorthwestUS","Base",147.91
"Biomass",2024-06-27 05:00:00,"NYISO","Base",27.618
"Biomass",2024-06-27 05:00:00,"PJM","Base",427.1476
"Biomass",2024-06-27 05:00:00,"RockiesUS","Base",21.27
"Biomass",2024-06-27 05:00:00,"SERC","Base",118.945
"Biomass",2024-06-27 05:00:00,"Southwest","Base",62.5
"Biomass",2024-06-27 05:00:00,"SPP","Base",4.5597
"Coal",2024-06-27 05:00:00,"ERCOT","Base",81
"Coal",2024-06-27 05:00:00,"FRCC","Base",453
"Coal",2024-06-27 05:00:00,"Mexico","Base",6897.76
"Coal",2024-06-27 05:00:00,"MISO","Base",1421.8639
"Coal",2024-06-27 05:00:00,"NorthwestUS","Base",0
"Coal",2024-06-27 05:00:00,"PJM","Base",2091.9866
"Coal",2024-06-27 05:00:00,"RockiesUS","Base",2171.84
"Coal",2024-06-27 05:00:00,"SaskPower","Base",0
"Coal",2024-06-27 05:00:00,"SERC","Base",3463.1
"Coal",2024-06-27 05:00:00,"Southwest","Base",2265.54
"Coal",2024-06-27 05:00:00,"SPP","Base",1819
"CSP",2024-06-27 05:00:00,"California","Base",0
"CSP",2024-06-27 05:00:00,"Mexico","Base",14
"CSP",2024-06-27 05:00:00,"Southwest","Base",0
"Gas",2024-06-27 05:00:00,"AB","Base",2210.63903135808
"Gas",2024-06-27 05:00:00,"BC","Base",0
"Gas",2024-06-27 05:00:00,"California","Base",6466.72493518927
"Gas",2024-06-27 05:00:00,"ERCOT","Base",28364.9434040867
"Gas",2024-06-27 05:00:00,"FRCC","Base",10925.3887
"Gas",2024-06-27 05:00:00,"HQ","Base",0
"Gas",2024-06-27 05:00:00,"IESO","Base",257
"Gas",2024-06-27 05:00:00,"ISONE","Base",105
"Gas",2024-06-27 05:00:00,"Maritimes","Base",0
"Gas",2024-06-27 05:00:00,"Mexico","Base",32085.3050001207
"Gas",2024-06-27 05:00:00,"MH","Base",33
"Gas",2024-06-27 05:00:00,"MISO","Base",23848.9769922621
"Gas",2024-06-27 05:00:00,"NorthwestUS","Base",0
"Gas",2024-06-27 05:00:00,"NYISO","Base",802.24
"Gas",2024-06-27 05:00:00,"PJM","Base",10609.1305517338
"Gas",2024-06-27 05:00:00,"RockiesUS","Base",4012.351478345
"Gas",2024-06-27 05:00:00,"SaskPower","Base",158
"Gas",2024-06-27 05:00:00,"SERC","Base",39450.8321
"Gas",2024-06-27 05:00:00,"Southwest","Base",11757.406833165
"Gas",2024-06-27 05:00:00,"SPP","Base",0
"Geothermal",2024-06-27 05:00:00,"California","Base",948.09
"Geothermal",2024-06-27 05:00:00,"Mexico","Base",1213.3
"Geothermal",2024-06-27 05:00:00,"RockiesUS","Base",103.095
"Geothermal",2024-06-27 05:00:00,"Southwest","Base",373.3
"Hydro",2024-06-27 05:00:00,"AB","Base",113.201011866926
