"Generator_Group_Name","Generator_Name","Node_Region","Type","lat","lon"
"Biomass27-81","Biomass27-81","FRCC","Biomass",27,-81
"Biomass29-96","Biomass29-96","ERCOT","Biomass",29,-96
"Biomass33-112","Biomass33-112","Southwest","Biomass",33,-112
"Biomass33-117","Biomass33-117","California","Biomass",33,-117
"Biomass34-81","Biomass34-81","SERC","Biomass",34,-81
"Biomass37-113","Biomass37-113","RockiesUS","Biomass",37,-113
"Biomass37-77","Biomass37-77","PJM","Biomass",37,-77
"Biomass40-96","Biomass40-96","SPP","Biomass",40,-96
"Biomass41-74","Biomass41-74","NYISO","Biomass",41,-74
"Biomass42-83","Biomass42-83","MISO","Biomass",42,-83
"Biomass44-121","Biomass44-121","NorthwestUS","Biomass",44,-121
"Biomass44-77","Biomass44-77","IESO","Biomass",44,-77
"Biomass49-123","Biomass49-123","BC","Biomass",49,-123
"Biomass53-115","Biomass53-115","AB","Biomass",53,-115
"Coal28-81","Coal28-81","FRCC","Coal",28,-81
"Coal31-97","Coal31-97","ERCOT","Coal",31,-97
"Coal33-81","Coal33-81","SERC","Coal",33,-81
"Coal34-109","Coal34-109","Southwest","Coal",34,-109
"Coal34-94","Coal34-94","SPP","Coal",34,-94
"Coal37-113","Coal37-113","RockiesUS","Coal",37,-113
"Coal37-83","Coal37-83","PJM","Coal",37,-83
"Coal38-90","Coal38-90","MISO","Coal",38,-90
"Gas25-81","Gas25-81","FRCC","Gas",25,-81
"Gas26-98","Gas26-98","ERCOT","Gas",26,-98
"Gas30-86","Gas30-86","SERC","Gas",30,-86
"Gas30-90","Gas30-90","MISO","Gas",30,-90
"Gas32-106","Gas32-106","Southwest","Gas",32,-106
"Gas32-95","Gas32-95","ERCOT","Gas",32,-95
"Gas32-95","Gas32-95","SPP","Gas",32,-95
"Gas33-116","Gas33-116","California","Gas",33,-116
"Gas38-104","Gas38-104","RockiesUS","Gas",38,-104
"Gas39-75","Gas39-75","PJM","Gas",39,-75
"Gas41-74","Gas41-74","NYISO","Gas",41,-74
"Gas41-74","Gas41-74","PJM","Gas",41,-74
"Gas42-71","Gas42-71","ISONE","Gas",42,-71
"Gas42-83","Gas42-83","IESO","Gas",42,-83
"Gas42-83","Gas42-83","MISO","Gas",42,-83
"Gas42-83","Gas42-83","PJM","Gas",42,-83
"Gas50-111","Gas50-111","AB","Gas",50,-111
"Gas50-97","Gas50-97","MH","Gas",50,-97
"Gas52-107","Gas52-107","SaskPower","Gas",52,-107
"Geothermal33-115","Geothermal33-115","California","Geothermal",33,-115
"Geothermal39-113","Geothermal39-113","RockiesUS","Geothermal",39,-113
"Geothermal39-120","Geothermal39-120","Southwest","Geothermal",39,-120
"Hydro27-99","Hydro27-99","ERCOT","Hydro",27,-99
"Hydro30-85","Hydro30-85","FRCC","Hydro",30,-85
"Hydro31-87","Hydro31-87","SERC","Hydro",31,-87
"Hydro31-92","Hydro31-92","MISO","Hydro",31,-92
"Hydro33-112","Hydro33-112","Southwest","Hydro",33,-112
"Hydro33-116","Hydro33-116","California","Hydro",33,-116
"Hydro35-93","Hydro35-93","MISO","Hydro",35,-93
"Hydro35-93","Hydro35-93","SPP","Hydro",35,-93
"Hydro36-78","Hydro36-78","PJM","Hydro",36,-78
"Hydro37-109","Hydro37-109","RockiesUS","Hydro",37,-109
"Hydro41-122","Hydro41-122","California","Hydro",41,-122
"Hydro41-122","Hydro41-122","NorthwestUS","Hydro",41,-122
"Hydro41-73","Hydro41-73","ISONE","Hydro",41,-73
"Hydro41-74","Hydro41-74","NYISO","Hydro",41,-74
"Hydro41-74","Hydro41-74","PJM","Hydro",41,-74
"Hydro43-79","Hydro43-79","IESO","Hydro",43,-79
"Hydro43-79","Hydro43-79","NYISO","Hydro",43,-79
"Hydro44-65","Hydro44-65","Maritimes","Hydro",44,-65
"Hydro45-74","Hydro45-74","HQ","Hydro",45,-74
"Hydro45-74","Hydro45-74","NYISO","Hydro",45,-74
"Hydro49-113","Hydro49-113","AB","Hydro",49,-113
"Hydro49-115","Hydro49-115","BC","Hydro",49,-115
"Hydro50-96","Hydro50-96","MH","Hydro",50,-96
"Hydro52-107","Hydro52-107","SaskPower","Hydro",52,-107
"Nuclear25-80","Nuclear25-80","FRCC","Nuclear",25,-80
"Nuclear26-98","Nuclear26-98","ERCOT","Nuclear",26,-98
"Nuclear31-85","Nuclear31-85","SERC","Nuclear",31,-85
"Nuclear33-113","Nuclear33-113","Southwest","Nuclear",33,-113
