"time","scenario","Source2Sink","value"
2024-06-27 05:00:00,"Base","AB - BC",-6406.22014998588
2024-06-27 05:00:00,"Base","AB - NorthwestUS",-300.000000076648
2024-06-27 05:00:00,"Base","AB - SaskPower",-150
2024-06-27 05:00:00,"Base","California - Mexico",-800
2024-06-27 05:00:00,"Base","California - RockiesUS",-249.924390163976
2024-06-27 05:00:00,"Base","California - Southwest",-6932.74049895492
2024-06-27 05:00:00,"Base","ERCOT - Mexico",747.6
2024-06-27 05:00:00,"Base","HQ - ISONE",1497.91240039561
2024-06-27 05:00:00,"Base","HQ - Maritimes",1654.42081404586
2024-06-27 05:00:00,"Base","IESO - HQ",-2585.73206476659
2024-06-27 05:00:00,"Base","IESO - MH",51.773500451336
2024-06-27 05:00:00,"Base","IESO - MISO",2410.86409667762
2024-06-27 05:00:00,"Base","ISONE - Maritimes",-706.865530258067
2024-06-27 05:00:00,"Base","ISONE - NYISO",5163.87603430311
2024-06-27 05:00:00,"Base","MH - SaskPower",-240.788766611818
2024-06-27 05:00:00,"Base","MISO - MH",-1421.38444230286
2024-06-27 05:00:00,"Base","MISO - PJM",5514.04574203763
2024-06-27 05:00:00,"Base","MISO - SERC",-6028.84954382066
2024-06-27 05:00:00,"Base","MISO - SPP",-4882.02504729809
2024-06-27 05:00:00,"Base","NorthwestUS - BC",-2957.32984365768
2024-06-27 05:00:00,"Base","NorthwestUS - California",4991.09356048003
2024-06-27 05:00:00,"Base","NorthwestUS - RockiesUS",-349.33198091266
2024-06-27 05:00:00,"Base","NorthwestUS - Southwest",-281.906196709211
2024-06-27 05:00:00,"Base","NorthwestUS - SPP",200
2024-06-27 05:00:00,"Base","NYISO - HQ",-3975
2024-06-27 05:00:00,"Base","NYISO - IESO",1458.32084957296
2024-06-27 05:00:00,"Base","NYISO - PJM",3323.63091004067
2024-06-27 05:00:00,"Base","PJM - SERC",1310.69854069218
2024-06-27 05:00:00,"Base","RockiesUS - Southwest",1496.43913792388
2024-06-27 05:00:00,"Base","RockiesUS - SPP",-489.999052
2024-06-27 05:00:00,"Base","SERC - FRCC",6603.98316736198
2024-06-27 05:00:00,"Base","SERC - SPP",511.912235526451
2024-06-27 05:00:00,"Base","Southwest - Mexico",-156.6
2024-06-27 05:00:00,"Base","Southwest - SPP",0
2024-06-27 05:00:00,"Base","SPP - ERCOT",-380
2024-06-27 05:00:00,"Base","SPP - SaskPower",-306.894278962576
